business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level
OPERATIONAL,"{'location': {'lat': 5.3980901, 'lng': 100.3293881}, 'viewport': {'northeast': {'lat': 5.399387779892722, 'lng': 100.3306820298927}, 'southwest': {'lat': 5.396688120107278, 'lng': 100.3279823701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,My Favorite Place local food,{'open_now': True},"[{'height': 1560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113770154483243121487"">chee ping tan</a>'], 'photo_reference': 'AW30NDzJqJNUJOIFpkBXy3SFkxoETuV1-9W_jMzJc1Z2SExWQ3AHbgpzKShY5IMU3pzzwU6blYJd4JzOuu6-oeU9FdKVAAeq3iWo6Mi_x_iFc-_bR6U2dEc1qJiVOF9b2t8aUBB32rUPkakKr_Cga1BI5G84D_uzeo7uQpsV8f4HYXnIrEH2', 'width': 5570}]",ChIJEcpGsOfDSjARUb5hfupRNb8,"{'compound_code': '98XH+6Q George Town, Penang', 'global_code': '6PQ298XH+6Q'}",3.3,ChIJEcpGsOfDSjARUb5hfupRNb8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Automall, Level 3, No. 5, Lebuh Sungai Pinang 1, Karpal Singh Dr, Georgetown, George Town",
OPERATIONAL,"{'location': {'lat': 5.3993699, 'lng': 100.3254276}, 'viewport': {'northeast': {'lat': 5.400686979892722, 'lng': 100.3267477298927}, 'southwest': {'lat': 5.397987320107278, 'lng': 100.3240480701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,MrTeriyaki Delivery (Japanese Food),{'open_now': True},"[{'height': 523, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116116450188159808899"">A Google User</a>'], 'photo_reference': 'AW30NDx7bbeDRLbA5EC80yKPEdI3i1y7TCjDAPCIK8GW1pu4E5Dfmk-g0rEjla82LFE9Fv59-PP871V1alX2qmmYvM7nQKmoQeApEHRbMB3i8cNbAAJcwwvxIJY1d0qqlTMP3UhEijhhPJPjROjhP0qsET-Beu7zIe912nl4Jiop14CcgutJ', 'width': 706}]",ChIJbz2t5SnDSjAR5Z3kzoSpSQU,"{'compound_code': '98XG+Q5 Jelutong, Penang', 'global_code': '6PQ298XG+Q5'}",5.0,ChIJbz2t5SnDSjAR5Z3kzoSpSQU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,Jelutong,
OPERATIONAL,"{'location': {'lat': 5.419207699999999, 'lng': 100.3341121}, 'viewport': {'northeast': {'lat': 5.420611229892722, 'lng': 100.3354864798927}, 'southwest': {'lat': 5.417911570107278, 'lng': 100.3327868201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Premier bistro,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100893395575473272611"">A Google User</a>'], 'photo_reference': 'AW30NDxeXPI2W_NzPhaRuAgggX4MeETSPaF0fnOQfHc4QlR8oBAtGqp2U_Dk4yIW3fkgweUnPdBPXSqrIPzwZ1cw5NWBgu4f_ffpRN-fo0Pjbr3y4DapdtqNMd-A-HD0cBXwQy8UXcMYpO1hH59nKCHa_20rP-eBcUts8o6sn_TwpiYu9ExR', 'width': 4608}]",ChIJVUSv7JDDSjARJdQj0nRWPDE,"{'compound_code': 'C89M+MJ George Town, Penang', 'global_code': '6PQ2C89M+MJ'}",4.9,ChIJVUSv7JDDSjARJdQj0nRWPDE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",14,"439, Chulia St, Georgetown, George Town",
OPERATIONAL,"{'location': {'lat': 5.4110505, 'lng': 100.3253188}, 'viewport': {'northeast': {'lat': 5.412360679892721, 'lng': 100.3265900798927}, 'southwest': {'lat': 5.409661020107277, 'lng': 100.3238904201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Food Street@Penang Times Square,{'open_now': True},,ChIJ-epUSkLDSjARY6WQp5LTED8,"{'compound_code': 'C86G+C4 George Town, Penang', 'global_code': '6PQ2C86G+C4'}",3.0,ChIJ-epUSkLDSjARY6WQp5LTED8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Kampung Jawa Baru, George Town",
OPERATIONAL,"{'location': {'lat': 5.427828, 'lng': 100.3159373}, 'viewport': {'northeast': {'lat': 5.429081429892721, 'lng': 100.3172183798927}, 'southwest': {'lat': 5.426381770107278, 'lng': 100.3145187201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Burma Connection Local Food Haven,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117484749802418993177"">Yuk Yung LI</a>'], 'photo_reference': 'AW30NDwJDU_d0QUQuUudM8c4E-MpTt_iBi04JIZbpIYyL6bITZXI-UeKzP3LuT-dBnF4CpqORnTwWugYz4K7jX6v-RCNwX5GT_a6bKu0NrbVz9qQW7CvTpwP63txTpj4s4xN5_7nhbs_1hMPOP0hFjJn0-anDoNMGPuOEYN7M7wyGlqmXyKE', 'width': 3024}]",ChIJCzY0rgbDSjAR0i5Lpba-MTA,"{'compound_code': 'C8H8+49 George Town, Penang', 'global_code': '6PQ2C8H8+49'}",3.8,ChIJCzY0rgbDSjAR0i5Lpba-MTA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",6,"249, Jalan Burma, George Town",
OPERATIONAL,"{'location': {'lat': 5.4129567, 'lng': 100.3307377}, 'viewport': {'northeast': {'lat': 5.414363629892722, 'lng': 100.3321166298927}, 'southwest': {'lat': 5.411663970107278, 'lng': 100.3294169701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Street Food,{'open_now': False},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106533525311636900330"">Berta Vianny Pratiwi</a>'], 'photo_reference': 'AW30NDyj1_I85JNI4DheWEDYWnXIt3sIpWzSZ06RcFU4TfifBphvebeBfaD2gAzWBQaDVg_rilSJbJc6v8a6ps8K8wXNy7dSnFxrsDtOZBsfk5lGMdmyzwYvZNr6Um2RSzhpMynEbTfcqLWs0jdCYTGVB4Uwf6nP2ocfRACMoOrBIovvYEib', 'width': 2048}]",ChIJxbLZAdbDSjARpv8chc-7TkM,"{'compound_code': 'C87J+57 George Town, Penang', 'global_code': '6PQ2C87J+57'}",4.2,ChIJxbLZAdbDSjARpv8chc-7TkM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",12,George Town,
OPERATIONAL,"{'location': {'lat': 5.416352900000001, 'lng': 100.3328885}, 'viewport': {'northeast': {'lat': 5.417677629892722, 'lng': 100.3342222798927}, 'southwest': {'lat': 5.414977970107278, 'lng': 100.3315226201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Penang Food,{'open_now': False},,ChIJd_DQdvXDSjARZCNXVxD410o,"{'compound_code': 'C88M+G4 George Town, Penang', 'global_code': '6PQ2C88M+G4'}",4.0,ChIJd_DQdvXDSjARZCNXVxD410o,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"76-66, Lebuh Kimberley, George Town",
OPERATIONAL,"{'location': {'lat': 5.4191422, 'lng': 100.3325313}, 'viewport': {'northeast': {'lat': 5.420525979892721, 'lng': 100.3338981798927}, 'southwest': {'lat': 5.417826320107277, 'lng': 100.3311985201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden and Prosperity Food Restaurant,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102188562730677613060"">A Google User</a>'], 'photo_reference': 'AW30NDwJkxDslUQ2PEoofjROeX5pYlZrEHQCVguVvKrxtRB0L6O8etSRVLrhMmYr9s2-qtXnoQ8B7Biv0yWeCryhFGSWdLqVzVTYsv6Ww3UWVDCcPRMADEiRolvaya95ADnoJBN3SnWO8jGUW6Ai56i1pKPolbGxq5FkCjbrOXcToXBUmnzL', 'width': 4032}]",ChIJRa9aMj7DSjARBKjDTKvTdPA,"{'compound_code': 'C89M+M2 George Town, Penang', 'global_code': '6PQ2C89M+M2'}",4.5,ChIJRa9aMj7DSjARBKjDTKvTdPA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",48,"51, Kampong Malabar, George Town",
OPERATIONAL,"{'location': {'lat': 5.416816, 'lng': 100.3225219}, 'viewport': {'northeast': {'lat': 5.418242879892722, 'lng': 100.3239111298927}, 'southwest': {'lat': 5.415543220107278, 'lng': 100.3212114701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Oriental Food Stall 东方食堂,{'open_now': False},"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109726131872500417893"">Tony Lim</a>'], 'photo_reference': 'AW30NDzIYhQvJsEGlfESfAq_Fh2gCZEXEWRBWM3fCnCGUy-G4a4KZrWDyaILdUwSE9Jfat1n7sGPo9gXLT_pR7lsibqRiqExUeZqDAhq3psXwegBo6JLyz-83KYPL2SebPofTQ54Np2DFujwwRQzrBDVdypAYKq2BjFtYWnHFnprE85mQhOC', 'width': 2976}]",ChIJ301dlrrDSjARAjpM_IRZkwQ,"{'compound_code': 'C88F+P2 George Town, Penang', 'global_code': '6PQ2C88F+P2'}",3.3,ChIJ301dlrrDSjARAjpM_IRZkwQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",9,"107, Jalan Macalister, George Town",
OPERATIONAL,"{'location': {'lat': 5.4303672, 'lng': 100.3127488}, 'viewport': {'northeast': {'lat': 5.431718629892722, 'lng': 100.3141283298927}, 'southwest': {'lat': 5.429018970107278, 'lng': 100.3114286701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restoran 77 Food Yard,{'open_now': False},"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111296246493034784655"">JS 007</a>'], 'photo_reference': 'AW30NDwsCokYgb1Gp2tx4n1tNqlbZhGMbCNnSEAIbL8rOWIHnPckFa8y0knf8dKxnoqAPsxptGPd7_96-6M4cWKJOxVPdbcmkBiQrArTr0EDiRb7vvM4nKVT7nK2BGFfuj5HJFr9T1KlN-_LEZGGBAPKQVxhxKxUVnRMWRr_giV9fHkC5LrC', 'width': 3648}]",ChIJf_Csz6nDSjARuYpo_dsUHbc,"{'compound_code': 'C8J7+43 George Town, Penang', 'global_code': '6PQ2C8J7+43'}",3.9,ChIJf_Csz6nDSjARuYpo_dsUHbc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",80,"295, Jalan Burma, George Town",1.0
OPERATIONAL,"{'location': {'lat': 5.4203022, 'lng': 100.3318642}, 'viewport': {'northeast': {'lat': 5.421715779892721, 'lng': 100.3332751298927}, 'southwest': {'lat': 5.419016120107277, 'lng': 100.3305754701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,FOOD DYNASTY,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117581441520099181086"">Lim Kok Beng</a>'], 'photo_reference': 'AW30NDzUC0-mM4ihStDkrRd2bb8ax5mHFcXdKlLJS9dRg4tfjqmyrc8gzhCGHwGdZg4pccrx2U_QmMklOfhTcs2g_8mbAv4VwBvHuyDxJUZwlGfA5pehpB4LuSu7LuVT31mTdrBaAbjwsbsFSEeWZWR3j2N_kQeK8CTWdBfakdQPtPcMe4ed', 'width': 4000}]",ChIJ4yFhM5zDSjAREjqXjVY_8VM,"{'compound_code': 'C8CJ+4P George Town, Penang', 'global_code': '6PQ2C8CJ+4P'}",5.0,ChIJ4yFhM5zDSjAREjqXjVY_8VM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",21,"25, Jalan Argyll, George Town",
OPERATIONAL,"{'location': {'lat': 5.4145625, 'lng': 100.3311547}, 'viewport': {'northeast': {'lat': 5.415722829892721, 'lng': 100.3326618798927}, 'southwest': {'lat': 5.413023170107278, 'lng': 100.3299622201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aroi Thai Food,{'open_now': False},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101031658435919348371"">G CS</a>'], 'photo_reference': 'AW30NDxGFja0RER362klvVbYoz4eOubl8DMQd6z7GI0zEXEf-CpgWD7pNUoafAgiMfYpmXBZPQ3Wtr_xV-gdoC00ZeiBUoBQ78Cn9iL41lQ5Y6XUZNh0GfkuNYxd-0Lk9yOOXlLFbik2f1sSPmp2j-Rk57spWGP3M6RbeLqgcC0YphDL5iJ0', 'width': 4032}]",ChIJScq2Y53DSjARwa2yXOjIqz4,"{'compound_code': 'C87J+RF George Town, Penang', 'global_code': '6PQ2C87J+RF'}",4.7,ChIJScq2Y53DSjARwa2yXOjIqz4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",19,"George Town, Georgetown, Lorong Prangin",
